State,Year,Open Primary Date,Primary Date,General Date,Primary Runoff Date,General Runoff Date,Special Election (Y/N),Presidential Primary,Executive Offices Only,State House District,State Senate District,National House District,National Senate,Notes,Source (Primary),Source (General if different),Source (Primary Runoff if different),,
Alabama,2009,,3/3/09,6/9/09,4/29/09,,Y,,,,7,,,,http://alabamavotes.gov/ElectionInfo/2009Elections.aspx?a=voters,,,,
Alabama,2009,,4/14/09,6/2/09,,,Y,,,,22,,,,,,,,
Alabama,2009,,5/12/09,,6/30/09,,Y,,,,19,,,,,,,,
Alabama,2009,,5/26/09,7/14/09,,,Y,,,6,,,,,,,,,
Alabama,2009,,9/15/09,11/3/09,,,Y,,,65,,,,,,,,,
Alabama,2009,,9/29/09,,11/10/09,,Y,,,56,,,,,,,,,
Alabama,2010,,6/1/10,11/2/10,7/13/10,,N,,,,,,,,http://alabamavotes.gov/ElectionInfo/2010Elections.aspx?a=voters,,,,
Alabama,2010,,1/5/10,2/16/10,,,Y,,,40,,,,,,,,,
Alabama,2011,,3/22/11,5/10/11,,,Y,,,105,,,,,http://alabamavotes.gov/ElectionInfo/2011Elections.aspx?a=voters,,,,
Alabama,2011,,8/30/11,11/29/11,10/11/11,,Y,,,45,,,,,,,,,
Alabama,2011,,8/30/11,10/11/11,,,Y,,,48,,,,,,,,,
Alabama,2012,,3/13/12,11/6/12,4/24/12,,N,,,,,,,,http://alabamavotes.gov/ElectionInfo/2012Elections.aspx?a=voters,,,,
Alabama,2012,,10/23/12,12/11/12,,,Y,,,30,,,,,,,,,
Alabama,2012,,10/23/12,,12/11/12,,Y,,,34,,,,,,,,,
Alabama,2013,,1/29/13,,3/12/13,,Y,,,,35,,,,http://alabamavotes.gov/ElectionInfo/2013Elections.aspx?a=voters,,,,
Alabama,2013,,2/12/13,,3/26/13,,Y,,,11,,,,,,,,,
Alabama,2013,,2/26/13,5/21/13,4/9/13,,Y,,,97,,,,,,,,,
Alabama,2013,,9/24/13,12/17/13,11/5/13,,Y,,,,,1,,,,,,,
Alabama,2013,,10/8/13,,11/19/13,,Y,,,74,,,,,,,,,
Alabama,2013,,10/15/13,,12/3/13,,Y,,,104,,,,,,,,,
Alabama,2013,,12/3/13,,,,Y,,,53,,,,,,,,,
,,,12/3/13,,,,,,,31,,,,,,,,,
Alabama,2014,,6/3/14,11/4/14,7/15/14,,N,,,,,,,,http://alabamavotes.gov/ElectionInfo/2014Elections.aspx?a=voters,,,,
Alabama,2015,,9/29/15,12/8/15,,,Y,,,5,,,,,http://alabamavotes.gov/ElectionInfo/ElectionInfo2015.aspx?a=voters,,,,
Alabama,2016,,3/1/16,,3/22/16,,,,,,,,,,,,,,
Alabama,2018,,6/5/18,,7/17/18,,,,,,,,,,,,,,
Alabama,2020,,3/3/20,,7/14/20,,,,,,,,,,,,,,
Alabama,2022,,5/24/22,,6/21/22,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Alaska,1998,,8/25/98,11/3/98,,,N,,,,,,,,https://www.elections.alaska.gov/ei_return_1998_PRIM.php,http://www.nytimes.com/1998/11/04/us/the-1998-elections-state-by-state-west-alaska.html,,,
Alaska,2000,,8/22/00,11/7/00,,,N,,,,,,,,https://www.elections.alaska.gov/ei_return_2000_PRIM.php,https://www.elections.alaska.gov/ei_return_2000_GENR.php,,,
Alaska,2002,,8/27/02,11/5/02,,,N,,,,,,,,https://www.elections.alaska.gov/ei_return_2002_PRIM.php,https://www.elections.alaska.gov/ei_return_2002_GENR.php,,,
Alaska,2004,,8/24/04,11/2/04,,,N,,,,,,,,https://www.elections.alaska.gov/ei_return_2004_PRIM.php,https://www.elections.alaska.gov/ei_return_2004_GENR.php,,,
Alaska,2006,,8/22/06,11/7/06,,,N,,,,,,,,https://www.elections.alaska.gov/ei_return_2006_PRIM.php,https://www.elections.alaska.gov/ei_return_2006_GENR.php,,,
Alaska,2008,,8/26/08,11/4/08,,,N,,,,,,,,https://www.elections.alaska.gov/ei_return_2008_PRIM.php,https://www.elections.alaska.gov/ei_return_2008_GENR.php,,,
Alaska,2010,,8/24/10,11/2/10,,,N,,,,,,,,https://www.elections.alaska.gov/ei_return_2010_PRIM.php,https://www.elections.alaska.gov/ei_return_2010_GENR.php,,,
Alaska,2012,,8/28/12,11/6/12,,,N,,,,,,,,https://www.elections.alaska.gov/ei_return_2012_PRIM.php,https://www.elections.alaska.gov/ei_return_2012_GENR.php,,,
Alaska,2014,,8/19/14,11/4/14,,,N,,,,,,,,https://www.elections.alaska.gov/ei_return_2014_PRIM.php,https://www.elections.alaska.gov/ei_return_2014_GENR.php,,,
Alaska,2016,,8/16/16,,,,,,,,,,,,,,,,
Alaska,2018,,8/21/18,,,,,,,,,,,,,,,,
Alaska,2020,,8/18/20,,,,,,,,,,,,,,,,
Alaska,2022,,8/16/22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Arizona,1998,,9/8/98,11/3/98,,,N,,,,,,,,http://apps.azsos.gov/election/1998/Info/ElectionInformation.htm,,,,
Arizona,2000,,9/12/00,11/7/00,,,N,,,,,,,,http://apps.azsos.gov/election/2000/Info/ElectionInformation.htm,,,,
Arizona,2000,,2/22/00,,,,Y,Y,,,,,,,,,,,
Arizona,2002,,9/7/02,11/5/02,,,N,,,,,,,,http://apps.azsos.gov/election/2002/Info/ElectionInformation.htm,,,,
Arizona,2004,,9/7/04,11/2/04,,,N,,,,,,,,http://apps.azsos.gov/election/2004/Info/ElectionInformation.htm,,,,
Arizona,2004,,2/3/04,,,,Y,Y,,,,,,,,,,,
Arizona,2006,,9/12/06,11/7/06,,,N,,,,,,,,http://apps.azsos.gov/election/2006/Info/ElectionInformation.htm,,,,
Arizona,2008,,9/2/08,11/4/08,,,N,,,,,,,,http://apps.azsos.gov/election/2008/Info/ElectionInformation.htm,,,,
Arizona,2008,,2/5/08,,,,Y,Y,,,,,,,,,,,
Arizona,2010,,8/24/10,11/2/10,,,N,,,,,,,,http://apps.azsos.gov/election/2010/Info/ElectionInformation.htm,,,,
Arizona,2011,,,11/8/11,,,Y,,,,18,,,,http://apps.azsos.gov/election/2011/recall/electioninformation.htm,,,,
Arizona,2012,,8/28/12,11/6/12,,,N,,,,,,,,http://apps.azsos.gov/election/2012/Info/ElectionInformation.htm,,,,
Arizona,2012,,4/17/12,6/12/12,,,Y,,,,,8,,Congressional District 8,,,,,
Arizona,2012,,2/28/12,,,,Y,Y,,,,,,Presidential preference election,,,,,
Arizona,2014,,8/26/14,11/4/14,,,N,,,,,,,,http://apps.azsos.gov/election/2014/Info/ElectionInformation.htm,,,,
Arizona,2016,,8/30/16,,,,,,,,,,,,,,,,
Arizona,2018,,8/28/18,,,,,,,,,,,,,,,,
Arizona,2020,,8/4/20,,,,,,,,,,,,,,,,
Arizona,2022,,8/2/22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Arkansas,1998,,5/19/98,11/3/98,,,N,,,,,,,,http://www.sos.arkansas.gov/elections/historicalElectionResults/Pages/default.aspx,,,,
Arkansas,1999,,?,?,,,N,,,33,,,,Special Primary: State Representative District 33,,,,,
Arkansas,1999,,?,?,,,N,,,14,,,,Special Election: State Representative District 14,,,,,
Arkansas,2000,,5/23/00,11/7/00,6/13/00,,N,,,,,,,,http://www.sos.arkansas.gov/elections/historicalElectionResults/Documents/0710_cert_primary.pdf,http://www.sos.arkansas.gov/elections/historicalElectionResults/Documents/2000_Certified_General_Election_Results.pdf,http://www.sos.arkansas.gov/elections/historicalElectionResults/Documents/0710_cert_primaryrunoff.pdf,,
Arkansas,2000,,,?,,,Y,,,53,,,,Special General Election for State Representative DIstricts 33 and 53,,,,,
Arkansas,2000,,,?,,,Y,,,89,,,,Special General Election for State Representative DIstrict 89 and State Senate District 31,,,,,
Arkansas,2000,,,?,,,,,,31,,,,,,,,,
Arkansas,2001,,9/25/01,,,,Y,,,,,3,,,http://www.sos.arkansas.gov/elections/historicalElectionResults/Documents/2001_Special_Primary_US_Congress_District_3.pdf,,,,
Arkansas,2002,,5/21/02,11/5/02,6/11/02,,N,,,,,,,,http://www.sos.arkansas.gov/elections/historicalElectionResults/Documents/2002_Preferential_Primary_Non-Partisan_Judicial.pdf,http://www.sos.arkansas.gov/elections/historicalElectionResults/Documents/2002_General.pdf,http://www.sos.arkansas.gov/elections/historicalElectionResults/Documents/2002_Preferential_Primary_Run-off.pdf,,
Arkansas,2004,,5/18/04,11/2/04,6/8/04,,N,,,,,,,,http://www.sos.arkansas.gov/electionresults/index.php?ac:show:choose_elec=1,,,,
Arkansas,2005,,10/11/05,12/13/05,11/1/05,,Y,,,39,,,,,http://www.sos.arkansas.gov/electionresults/index.php?ac:show:choose_elec=1,,,,
Arkansas,2006,,5/23/06,11/7/06,6/13/06,,N,,,,,,,,http://www.sos.arkansas.gov/electionresults/index.php?ac:show:choose_elec=1,,,,
Arkansas,2006,,,4/11/06,,,Y,,,,14,,,,,,,,
Arkansas,2008,,5/20/08,11/4/08,6/10/08,,N,,,,,,,,http://www.sos.arkansas.gov/electionresults/index.php?ac:show:choose_elec=1,,,,
Arkansas,2008,,2/5/08,,,,Y,Y,,,,,,,,,,,
Arkansas,2009,,10/13/09,12/8/09,,,Y,,,,4,,,,http://www.sos.arkansas.gov/electionresults/index.php?ac:show:choose_elec=1,,,,
Arkansas,2010,,5/18/10,11/2/10,6/8/10,,N,,,,,,,,http://www.sos.arkansas.gov/electionresults/index.php?ac:show:choose_elec=1,,,,
Arkansas,2010,,,10/12/10,,,Y,,,21,,,,,,,,,
Arkansas,2011,,,3/8/11,,,Y,,,24,,,,,http://www.sos.arkansas.gov/electionresults/index.php?ac:show:choose_elec=1,,,,
Arkansas,2011,,4/12/11,7/12/11,5/10/11,,Y,,,54,,,,,,,,,
Arkansas,2012,,5/22/12,11/6/12,6/12/12,,N,,,,,,,,http://www.sos.arkansas.gov/electionresults/index.php?ac:show:choose_elec=1,,,,
Arkansas,2012,,,12/14/12,,,Y,,,,,,,,,,,,
Arkansas,2013,,10/8/13,1/14/14,11/12/13,,Y,,,,21,,,,http://www.sos.arkansas.gov/electionresults/index.php?ac:show:choose_elec=1,,,,
Arkansas,2014,,5/20/14,11/4/14,6/10/14,,N,,,,,,,,http://results.enr.clarityelections.com/AR/51266/133405/en/summary.html,http://results.enr.clarityelections.com/AR/51266/133405/en/summary.html,http://results.enr.clarityelections.com/AR/51821/134305/en/summary.html,,
Arkansas,2016,,3/1/16,,3/22/16,,,,,,,,,,,,,,
Arkansas,2018,,5/22/18,,6/19/18,,,,,,,,,,,,,,
Arkansas,2020,,3/3/20,,3/31/20,,,,,,,,,,,,,,
Arkansas,2022,,5/24/22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
California,1998,,6/2/98,11/3/98,,,N,,,,,,,,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/,,,,
California,2000,,3/7/00,11/7/00,,,N,,,,,,,,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/,,,,
California,2002,,3/5/02,11/5/02,,,N,,,,,,,,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/,,,,
California,2003,,,10/7/03,,,Y,,,,,,,Governor Recall Election,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/,,,,
California,2004,,3/2/04,11/2/04,,,N,,,,,,,,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/,,,,
California,2005,,3/8/05,,,,Y,,,,,5,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2005,,9/13/05,,,,Y,,,53,,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2005,,10/4/05,12/6/05,,,Y,,,,,48,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2006,,6/6/06,11/7/06,,,N,,,,,,,,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/,,,,
California,2006,,4/11/06,6/6/06,,,Y,,,,35,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2006,,4/11/06,6/6/06,,,Y,,,,,50,,,,,,,
California,2007,,5/15/07,,,,Y,,,39,,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2007,,6/26/07,8/21/07,,,Y,,,,,37,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2007,,12/11/07,2/5/08,,,Y,,,55,,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2008,,6/3/08,11/4/08,,,N,,,,,,,,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/,,,,
California,2008,,2/5/08,,,,Y,Y,,,,,,,,,,,
California,2008,,4/8/08,,,,Y,,,,,12,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2009,,3/24/09,5/19/09,,,Y,,,,26,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2009,,5/19/09,7/14/09,,,Y,,,,,32,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2009,,9/1/09,,,,Y,,,51,,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2009,,9/1/09,11/3/09,,,Y,,,,,10,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2009,,11/17/09,1/12/10,,,Y,,,72,,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2010,,6/8/10,11/2/10,,,N,,,,,,,,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/,,,,
California,2010,,4/13/10,6/8/10,,,Y,,,,37,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2010,,4/13/10,6/8/10,,,Y,,,43,,,,,,,,,
California,2010,,6/22/10,9/17/10,,,Y,,,,15,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2010,,11/2/10,1/4/11,,,Y,,,,1,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2011,,2/15/11,,,,Y,,,,28,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2011,,2/15/11,,,,Y,,,,17,,,,,,,,
California,2011,,3/8/11,5/3/11,,,Y,,,4,,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2011,,5/17/11,7/12/11,,,Y,,,,,36,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2012,,6/5/12,11/6/12,,,N,,,,,,,,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/,,,,
California,2012,,11/6/12,1/8/13,,,Y,,,,4,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2013,,3/12/13,,,,Y,,,,40,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2013,,3/12/13,5/14/13,,,Y,,,,32,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2013,,5/21/13,7/23/13,,,Y,,,,16,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2013,,5/21/13,,,,Y,,,80,,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2013,,7/23/13,9/24/13,,,Y,,,52,,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2013,,9/17/13,,,,Y,,,,26,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2013,,9/17/13,11/19/13,,,Y,,,45,,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2013,,12/3/13,,,,Y,,,54,,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2014,,6/3/14,11/4/14,,,N,,,,,,,,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/,,,,
California,2014,,3/25/14,,,,Y,,,,23,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2014,,12/9/14,,,,Y,,,,35,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2015,,3/17/15,5/19/15,,,Y,,,,7,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2015,,3/17/15,,,,Y,,,,21,,,,http://www.sos.ca.gov/elections/prior-elections/special-elections/,,,,
California,2015,,3/17/15,,,,Y,,,,37,,,,,,,,
California,2016,,6/7/16,,,,,,,,,,,,,,,,
California,2018,,6/5/18,,,,,,,,,,,,,,,,
California,2020,,3/3/20,,,,,,,,,,,,,,,,
California,2022,,6/7/22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Colorado,1998,,8/11/98,11/3/98,,,N,,,,,,,,"http://www.sos.state.co.us/pubs/elections/Results/1997/abstract.pdf , pg43",http://www.sos.state.co.us/pubs/elections/Results/1998/1998CertCandidates.html,,,
Colorado,2000,,8/8/00,11/7/00,,,N,,,,,,,,http://www.sos.state.co.us/pubs/elections/Results/2000/elec_night_prim.xls,http://www.sos.state.co.us/pubs/elections/Results/2000/2000_offices.pdf,,,
Colorado,2002,,8/13/02,11/5/02,,,N,,,,,,,,"http://www.sos.state.co.us/pubs/elections/Results/2002/2002_abstract.pdf , pg51","http://www.sos.state.co.us/pubs/elections/Results/2002/2002_abstract.pdf , pg94",,,
Colorado,2004,,8/10/04,11/2/04,,,N,,,,,,,,"http://www.sos.state.co.us/pubs/elections/Results/2004/Abstract2003-2004.pdf , pg52","http://www.sos.state.co.us/pubs/elections/Results/2004/Abstract2003-2004.pdf , pg87",,,
Colorado,2006,,8/8/06,11/7/06,,,N,,,,,,,,"http://www.sos.state.co.us/pubs/elections/Results/2006/2005-2006_complete_abstract.pdf , pg51","http://www.sos.state.co.us/pubs/elections/Results/2006/2005-2006_complete_abstract.pdf , pg93",,,
Colorado,2008,,8/12/08,11/4/08,,,N,,,,,,,,"http://www.sos.state.co.us/pubs/elections/Results/2008/2008_Abstract.pdf , pg57",http://www.sos.state.co.us/pubs/elections/Results/2008/2008_GENERAL_CANDIDATE_LIST.pdf,,,
Colorado,2010,,8/10/10,11/2/10,,,N,,,,,,,,"http://www.sos.state.co.us/pubs/elections/vote/Abstract20110630.pdf , pg iii","http://www.sos.state.co.us/pubs/elections/vote/Abstract20110630.pdf , pg iii",,,
Colorado,2012,,6/26/12,11/6/12,,,N,,,,,,,,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/index.html,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/index.html,,,
Colorado,2013,,,11/5/13,,,Y,,,,3,,,Recall Election for State Senate District 3 and State Senate District 11,,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2014/index.html,,,
Colorado,2013,,,11/5/13,,,Y,,,,11,,,,,,,,
Colorado,2014,,6/24/14,11/4/14,,,N,,,,,,,,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2014/index.html,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2014/index.html,,,
Colorado,2016,,6/28/16,,,,,,,,,,,,,,,,
Colorado,2018,,6/26/18,,,,,,,,,,,,,,,,
Colorado,2020,,6/30/20,,,,,,,,,,,,,,,,
Colorado,2022,,6/28/22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Connecticut,1998,,9/15/98,11/3/98,,,N,,,,,,,,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489624,,,,
Connecticut,2000,,9/12/00,11/7/00,,,N,,,,,,,,"http://ballotpedia.org/Connecticut_State_Senate_elections,_2000",http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489625,,,
Connecticut,2000,,3/7/00,,,,N,Y,,,,,,,http://www.ct.gov/sots/cwp/view.asp?a=3188&q=392512,,,,
Connecticut,2002,,9/10/02,11/5/02,,,N,,,,,,,,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489626,,,,
Connecticut,2004,,8/10/04,11/2/04,,,N,,,,,,,,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489627,,,,
Connecticut,2004,,3/2/04,,,,Y,Y,,,,,,,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489628,,,,
Connecticut,2006,,8/8/06,11/7/06,,,N,,,,,,,,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489629,,,,
Connecticut,2008,,8/12/08,11/4/08,,,N,,,,,,,,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489630,http://www.sots.ct.gov/sots/lib/sots/electionservices/electionresults/2008_election_results/2008_president_by_cd.pdf,,,
Connecticut,2008,,2/5/08,,,,Y,Y,,,,,,,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489631,,,,
Connecticut,2010,,8/10/10,11/2/10,,,N,,,,,,,,http://www.ct.gov/sots/lib/sots/US_Senate.pdf,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489631,,,
Connecticut,2012,,8/14/12,11/6/12,,,N,,,,,,,,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489624,,,,
Connecticut,2012,,4/24/12,,,,Y,Y,,,,,,,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489625,,,,
Connecticut,2012,,,1/10/12,,,Y,,,24,,,,,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489626,,,,
Connecticut,2014,,8/12/14,11/4/14,,,N,,,,,,,,http://www.ct.gov/sots/cwp/view.asp?a=3179&q=489627,http://www.statementofvote-sots.ct.gov/StatementOfVote/WebModules/ReportsLink/AttGenCD.aspx,,,
Connecticut,2016,,8/9/16,,,,,,,,,,,,,,,,
Connecticut,2018,,8/14/18,,,,,,,,,,,,,,,,
Connecticut,2020,,8/11/20,,,,,,,,,,,,,,,,
Connecticut,2022,,8/9/22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Delaware,1998,,9/12/98,11/3/98,,,N,,,,,,,,http://elections.delaware.gov/archive/elect98/elect98_primary/elect98_primary_edrd.shtml,http://elections.delaware.gov/archive/elect98/elect98_general/elect98_general_edrd.shtml,,,
Delaware,2000,,9/9/00,11/7/00,,,N,,,,,,,,http://elections.delaware.gov/archive/elect00/2000pstwed.shtml,http://elections.delaware.gov/archive/elect00/2000genofficial.shtml,,,
Delaware,2000,,2/5/00,,,,Y,Y,,,,,,,http://elections.delaware.gov/archive/elect00/2000ppstwed.shtml,,,,
Delaware,2001,,,1/20/01,,,Y,,,2,,,,,,http://elections.delaware.gov/archive/elect01/elect01_special_2_rep/elect01_special2_office.shtml,,,
Delaware,2002,,9/7/02,11/5/02,,,N,,,,,,,,http://elections.delaware.gov/archive/elect02/elect02_primary/elect02_primary_office.shtml,http://elections.delaware.gov/archive/elect02/elect02_general/elect02_office.shtml,,,
Delaware,2004,,9/11/04,11/2/04,,,N,,,,,,,,http://elections.delaware.gov/archive/elect04/elect04_primary/elect04_primary_office.shtml,http://elections.delaware.gov/archive/elect04/elect04_general/elect04_general_office.shtml,,,
Delaware,2004,,2/3/04,,,,Y,Y,,,,,,,http://elections.delaware.gov/archive/elect04/elect04_pprimary/elect04_pprimary_office.shtml,,,,
Delaware,2006,,9/12/06,11/7/06,,,N,,,,,,,,http://elections.delaware.gov/archive/elect06/elect06_primary/elect06_primary_office.shtml,http://elections.delaware.gov/archive/elect06/elect06_general/html/elect06_general_office.shtml,,,
Delaware,2007,,,5/5/07,,,Y,,,41,,,,,,http://elections.delaware.gov/archive/elect07/elect07_special_sen_41/elect07_special_sen_41.shtml,,,
Delaware,2007,,,4/14/07,,,Y,,,7,,,,,,http://elections.delaware.gov/archive/elect07/elect07_special_rep_7/html/elect07_office.shtml,,,
Delaware,2007,,,11/3/07,,,Y,,,,14,,,,,http://elections.delaware.gov/archive/elect07/elect07_special_sen_14/pdf/14sd_cand.pdf,,,
Delaware,2008,,9/9/08,11/4/08,,,N,,,,,,,,http://elections.delaware.gov/archive/elect08/elect08_primary_election/html/election.shtml,http://elections.delaware.gov/archive/elect08/elect08_general_election/html/elect08_gen_office.shtml,,,
Delaware,2008,,2/5/08,,,,Y,Y,,,,,,,http://elections.delaware.gov/archive/elect08/elect08_pprimary_election/html/elect08_pprimary_office.shtml,,,,
Delaware,2008,,,12/20/08,,,Y,,,6,,,,,,http://elections.delaware.gov/results/PRIOR%20RESULTS/2008%206rd%20Special%20Election/html/election.shtml,,,
Delaware,2009,,,9/12/09,,,Y,,,37,,,,,,http://elections.delaware.gov/archive/elect09/elect09Special_37/37RDTOT.pdf,,,
Delaware,2009,,,8/3/09,,,Y,,,,19,,,,,http://elections.delaware.gov/archive/elect09special_19/election.shtml,,,
Delaware,2010,,9/14/10,11/2/10,,,N,,,,,,,,http://elections.delaware.gov/archive/elect10/elect10_election_index.shtml,http://elections.delaware.gov/archive/elect10/elect10_election_index.shtml,,,
Delaware,2012,,9/11/12,11/6/12,,,N,,,,,,,,http://elections.delaware.gov/archive/elect12/elect12_election_index.shtml,http://elections.delaware.gov/archive/elect12/elect12_election_index.shtml,,,
Delaware,2012,,4/24/12,,,,Y,Y,,,,,,,http://elections.delaware.gov/archive/elect12/elect12_election_index.shtml,,,,
Delaware,2014,,9/9/14,11/4/14,,,N,,,,,,,,http://elections.delaware.gov/archive/elect14/elect14_election_index.shtml,http://elections.delaware.gov/archive/elect14/elect14_election_index.shtml,,,
Delaware,2015,,,9/12/15,,,Y,,,18,,,,,,http://elections.delaware.gov/archive/elect15/elect15_election_index.shtml,,,
Delaware,2016,,9/13/16,,,,,,,,,,,,,,,,
Delaware,2018,,9/6/18,,,,,,,,,,,,,,,,
Delaware,2020,,9/15/20,,,,,,,,,,,,,,,,
Delaware,2022,,9/13/22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
